57	Taiwan	23,923,276	0.13 %	29,882	676	35,410	23,999	1.2	42	80 %	0.30 %
58	Mali	23,293,698	3.10 %	700,108	19	1,220,190	-39,998	5.8	15	44 %	0.29 %
59	Burkina Faso	23,251,485	2.55 %	577,723	85	273,600	-24,998	4.6	17	32 %	0.29 %
60	Syria	23,227,014	4.98 %	1,101,765	126	183,630	757,103	2.7	22	53 %	0.29 %
61	Sri Lanka	21,893,579	0.28 %	61,436	349	62,710	-77,495	2.0	33	19 %	0.27 %
62	Malawi	20,931,751	2.58 %	526,434	222	94,280	-6,000	3.8	17	19 %	0.26 %
63	Zambia	20,569,737	2.76 %	552,062	28	743,390	-5,000	4.2	17	46 %	0.26 %
64	Romania	19,892,812	1.19 %	233,545	86	230,170	-254,616	1.7	41	53 %	0.25 %
65	Chile	19,629,590	0.13 %	25,857	26	743,532	-71,205	1.5	36	85 %	0.24 %
66	Kazakhstan	19,606,633	1.08 %	208,635	7	2,699,700	0	3.0	30	57 %	0.24 %
67	Chad	18,278,568	3.13 %	555,253	15	1,259,200	-2,000	6.1	15	24 %	0.23 %
68	Ecuador	18,190,484	1.05 %	189,484	73	248,360	-21,525	2.0	28	64 %	0.23 %
69	Somalia	18,143,378	3.10 %	545,867	29	627,340	-30,000	6.1	15	46 %	0.23 %
70	Guatemala	18,092,026	1.39 %	248,118	169	107,160	-9,110	2.3	23	55 %	0.22 %
71	Senegal	17,763,163	2.58 %	446,714	92	192,530	-19,999	4.3	18	52 %	0.22 %
72	Netherlands	17,618,299	0.31 %	54,285	522	33,720	29,998	1.6	42	92 %	0.22 %
73	Cambodia	16,944,826	1.06 %	176,984	96	176,520	-29,998	2.3	27	26 %	0.21 %
74	Zimbabwe	16,665,409	2.11 %	344,872	43	386,850	-9,999	3.4	18	37 %	0.21 %
75	Guinea	14,190,612	2.39 %	331,271	58	245,720	-4,000	4.2	18	40 %	0.18 %
76	Rwanda	14,094,683	2.31 %	317,985	571	24,670	-8,999	3.7	19	18 %	0.18 %
77	Benin	13,712,828	2.70 %	359,964	122	112,760	-200	4.8	18	48 %	0.17 %
78	Burundi	13,238,559	2.71 %	348,983	516	25,680	2,000	4.9	16	15 %	0.16 %
79	Tunisia	12,458,223	0.83 %	102,106	80	155,360	-4,000	2.0	32	69 %	0.15 %
80	Bolivia	12,388,571	1.35 %	164,461	11	1,083,300	-3,000	2.5	24	69 %	0.15 %
81	Haiti	11,724,763	1.21 %	139,767	425	27,560	-31,811	2.7	23	60 %	0.15 %
82	Belgium	11,686,140	0.26 %	30,210	386	30,280	23,999	1.6	41	99 %	0.15 %
83	Jordan	11,337,052	0.45 %	51,183	128	88,780	-157,392	2.7	24	85 %	0.14 %
84	Dominican Republic	11,332,972	0.93 %	104,151	235	48,320	-29,099	2.2	28	85 %	0.14 %
85	Cuba	11,194,449	-0.16 %	-17,742	105	106,440	-6,000	1.5	41	80 %	0.14 %
86	South Sudan	11,088,796	1.61 %	175,632	18	610,952	-23,291	4.3	17	28 %	0.14 %
87	Sweden	10,612,086	0.59 %	62,739	26	410,340	39,998	1.7	40	86 %	0.13 %
88	Honduras	10,593,798	1.54 %	160,938	95	111,890	-5,034	2.3	24	58 %	0.13 %
89	Czech Republic	10,495,295	0.01 %	1,309	136	77,240	22,011	1.7	43	75 %	0.13 %
90	Azerbaijan	10,412,651	0.53 %	54,577	126	82,658	0	1.7	32	57 %	0.13 %
91	Greece	10,341,277	-0.42 %	-43,694	80	128,900	5,000	1.4	45	86 %	0.13 %
92	Papua New Guinea	10,329,931	1.85 %	187,312	23	452,860	-800	3.1	22	12 %	0.13 %
93	Portugal	10,247,605	-0.23 %	-23,260	112	91,590	9,999	1.4	46	67 %	0.13 %
94	Hungary	10,156,239	1.90 %	188,931	112	90,530	-156,677	1.6	42	68 %	0.13 %
95	Tajikistan	10,143,543	1.92 %	190,756	72	139,960	-19,999	3.1	22	28 %	0.13 %
96	United Arab Emirates	9,516,871	0.80 %	75,742	114	83,600	0	1.4	34	94 %	0.12 %
97	Belarus	9,498,238	-0.39 %	-36,716	47	202,910	-4,282	1.5	41	80 %	0.12 %
98	Israel	9,174,520	1.51 %	136,211	424	21,640	9,999	2.9	29	92 %	0.11 %
99	Togo	9,053,799	2.32 %	205,100	166	54,390	-2,000	4.1	19	44 %	0.11 %
100	Austria	8,958,960	0.22 %	19,343	109	82,409	19,999	1.5	43	59 %	0.11 %
101	Switzerland	8,796,669	0.64 %	56,197	223	39,516	39,998	1.5	42	75 %	0.11 %
102	Sierra Leone	8,791,092	2.15 %	185,374	122	72,180	-4,000	3.8	19	43 %	0.11 %
103	Laos	7,633,779	1.39 %	104,304	33	230,800	-9,999	2.4	24	37 %	0.09 %
104	Hong Kong	7,491,609	0.04 %	2,744	7,135	1,050	19,999	0.8	46	N.A.	0.09 %
105	Serbia	7,149,077	-1.00 %	-72,288	82	87,460	-9,999	1.5	43	69 %	0.09 %
106	Nicaragua	7,046,310	1.41 %	97,918	59	120,340	-8,000	2.3	25	56 %	0.09 %
107	Libya	6,888,388	1.12 %	76,047	4	1,759,540	-2,000	2.4	27	82 %	0.09 %
108	Paraguay	6,861,524	1.19 %	80,780	17	397,300	-12,499	2.4	26	67 %	0.09 %
109	Kyrgyzstan	6,735,347	1.58 %	104,724	35	191,800	-9,999	2.9	24	37 %	0.08 %
110	Bulgaria	6,687,717	-1.39 %	-94,236	62	108,560	-4,800	1.6	45	78 %	0.08 %
111	Turkmenistan	6,516,100	1.33 %	85,330	14	469,930	-4,000	2.6	26	52 %	0.08 %
112	El Salvador	6,364,943	0.45 %	28,551	307	20,720	-23,249	1.8	27	78 %	0.08 %
113	Congo	6,106,869	2.29 %	136,445	18	341,500	-1,000	4.0	18	70 %	0.08 %
114	Singapore	6,014,723	0.65 %	39,034	8,592	700	26,998	1.0	43	N.A.	0.07 %
115	Denmark	5,910,913	0.49 %	28,652	139	42,430	19,999	1.7	41	88 %	0.07 %
116	Slovakia	5,795,199	2.69 %	151,746	121	48,088	-112,067	1.6	40	51 %	0.07 %
117	Central African Republic	5,742,315	2.92 %	163,171	9	622,980	-14,716	5.8	15	40 %	0.07 %
118	Finland	5,545,475	0.09 %	4,730	18	303,890	13,999	1.4	43	87 %	0.07 %
119	Norway	5,474,360	0.74 %	40,041	15	365,268	27,998	1.5	40	86 %	0.07 %
120	Liberia	5,418,377	2.18 %	115,696	56	96,320	-5,000	4.0	18	54 %	0.07 %
121	Palestine	5,371,230	2.31 %	121,158	892	6,020	-5,000	3.4	20	83 %	0.07 %
122	Lebanon	5,353,930	-2.47 %	-135,809	523	10,230	-177,331	2.1	29	97 %	0.07 %
123	New Zealand	5,228,100	0.83 %	42,812	20	263,310	12,999	1.8	37	82 %	0.06 %
124	Costa Rica	5,212,173	0.60 %	31,344	102	51,060	3,750	1.5	34	82 %	0.06 %
125	Ireland	5,056,935	0.67 %	33,826	73	68,890	9,999	1.8	38	64 %	0.06 %
126	Mauritania	4,862,989	2.68 %	126,850	5	1,030,700	3,000	4.3	18	61 %	0.06 %
127	Oman	4,644,384	1.49 %	68,086	15	309,500	0	2.5	29	N.A.	0.06 %
128	Panama	4,468,087	1.35 %	59,506	60	74,340	7,262	2.3	29	70 %	0.06 %
129	Kuwait	4,310,108	0.97 %	41,235	242	17,820	11,999	2.1	40	N.A.	0.05 %
130	Croatia	4,008,617	-0.54 %	-21,741	72	55,960	-2,000	1.4	44	59 %	0.05 %
131	Eritrea	3,748,901	1.76 %	64,869	37	101,000	-15,297	3.7	19	67 %	0.05 %
132	Georgia	3,728,282	-0.43 %	-16,103	54	69,490	-9,999	2.1	37	63 %	0.05 %
133	Mongolia	3,447,157	1.44 %	48,791	2	1,553,560	-850	2.7	27	67 %	0.04 %
134	Moldova	3,435,931	4.98 %	162,935	105	32,850	-125,204	1.8	35	50 %	0.04 %
135	Uruguay	3,423,108	0.01 %	314	20	175,020	-1,500	1.5	36	99 %	0.04 %
136	Puerto Rico	3,260,314	0.24 %	7,907	368	8,870	19,835	1.3	44	N.A.	0.04 %
137	Bosnia and Herzegovina	3,210,847	-0.70 %	-22,679	63	51,000	-500	1.3	42	54 %	0.04 %
138	Albania	2,832,439	-0.35 %	-9,882	103	27,400	-8,000	1.4	38	67 %	0.04 %
139	Jamaica	2,825,544	-0.06 %	-1,833	261	10,830	-10,999	1.3	32	59 %	0.04 %
140	Armenia	2,777,970	-0.09 %	-2,499	98	28,470	-5,000	1.6	35	67 %	0.03 %
141	Gambia	2,773,168	2.48 %	67,176	274	10,120	-3,000	4.5	17	58 %	0.03 %
142	Lithuania	2,718,352	-1.15 %	-31,703	43	62,674	-13,128	1.6	44	71 %	0.03 %
143	Qatar	2,716,391	0.79 %	21,269	234	11,610	0	1.8	34	N.A.	0.03 %
144	Botswana	2,675,352	1.71 %	45,056	5	566,730	3,000	2.7	24	69 %	0.03 %
145	Namibia	2,604,172	1.45 %	37,160	3	823,290	-3,916	3.2	21	60 %	0.03 %
146	Gabon	2,436,566	1.99 %	47,574	9	257,670	1,000	3.4	22	85 %	0.03 %
147	Lesotho	2,330,318	1.06 %	24,493	77	30,360	-4,000	2.9	22	31 %	0.03 %
148	GuineaBissau	2,150,842	2.15 %	45,276	76	28,120	-1,400	3.8	19	45 %	0.03 %
149	Slovenia	2,119,675	-0.01 %	-169	105	20,140	2,000	1.6	44	55 %	0.03 %
150	North Macedonia	2,085,679	-0.38 %	-7,920	83	25,220	-1,000	1.4	39	60 %	0.03 %
151	Latvia	1,830,211	-1.10 %	-20,440	29	62,200	-7,630	1.6	44	69 %	0.02 %
152	Equatorial Guinea	1,714,671	2.37 %	39,763	61	28,050	4,000	4.1	21	67 %	0.02 %
153	Trinidad and Tobago	1,534,937	0.25 %	3,893	299	5,130	-800	1.6	36	48 %	0.02 %
154	Bahrain	1,485,509	0.90 %	13,276	1,955	760	0	1.8	34	N.A.	0.02 %
155	TimorLeste	1,360,596	1.44 %	19,300	91	14,870	-5,000	3.0	21	35 %	0.02 %
156	Estonia	1,322,765	-0.25 %	-3,297	31	42,390	-1,000	1.7	42	68 %	0.02 %
157	Mauritius	1,300,557	0.08 %	1,088	641	2,030	0	1.4	37	40 %	0.02 %
158	Cyprus	1,260,138	0.69 %	8,650	136	9,240	5,000	1.3	39	65 %	0.02 %
159	Eswatini	1,210,822	0.76 %	9,152	70	17,200	-5,268	2.8	22	31 %	0.02 %
160	Djibouti	1,136,455	1.39 %	15,606	49	23,180	900	2.7	24	72 %	0.01 %
161	Reunion	981,796	0.80 %	7,744	393	2,500	-630	2.2	34	93 %	0.01 %
162	Fiji	936,375	0.71 %	6,609	51	18,270	-3,289	2.4	27	59 %	0.01 %
163	Comoros	852,075	1.83 %	15,301	458	1,861	-2,000	3.8	20	33 %	0.01 %
164	Guyana	813,834	0.63 %	5,108	4	196,850	-3,900	2.3	26	27 %	0.01 %
165	Bhutan	787,424	0.64 %	4,969	21	38,117	300	1.4	29	49 %	0.01 %
166	Solomon Islands	740,424	2.23 %	16,151	26	27,990	-1,600	3.9	19	24 %	0.01 %
167	Macao	704,149	1.29 %	8,981	23,472	30	5,000	1.1	39	97 %	0.01 %
168	Luxembourg	654,768	1.11 %	7,169	253	2,590	4,883	1.4	39	88 %	0.01 %
169	Montenegro	626,485	-0.10 %	-597	47	13,450	-480	1.7	39	69 %	0.01 %
170	Suriname	623,236	0.84 %	5,196	4	156,000	-1,000	2.3	28	63 %	0.01 %
171	Cabo Verde	598,682	0.93 %	5,533	149	4,030	-1,227	1.9	27	67 %	0.01 %
172	Western Sahara	587,259	1.96 %	11,273	2	266,000	5,600	2.2	32	95 %	0.01 %
173	Micronesia	544,321	0.98 %	5,308	778	700	-1,642	2.7	26	71 %	0.01 %
174	Malta	535,064	0.33 %	1,778	1,672	320	850	1.2	40	78 %	0.01 %
175	Maldives	521,021	-0.53 %	-2,766	1,737	300	-8,652	1.7	32	39 %	0.01 %
176	Brunei	452,524	0.78 %	3,522	86	5,270	0	1.7	33	80 %	0.01 %
177	Bahamas	412,623	0.64 %	2,639	41	10,010	1,000	1.4	33	85 %	0.01 %
178	Belize	410,825	1.37 %	5,553	18	22,810	600	2.0	26	48 %	0.01 %
179	Guadeloupe	395,839	0.02 %	87	234	1,690	-800	2.0	42	N.A.	0.00 %
180	Iceland	375,318	0.65 %	2,419	4	100,250	380	1.7	36	88 %	0.00 %
181	Martinique	366,981	-0.14 %	-526	346	1,060	-650	1.9	47	94 %	0.00 %
182	Mayotte	335,995	3.03 %	9,894	896	375	0	4.3	17	40 %	0.00 %
183	Vanuatu	334,506	2.38 %	7,766	27	12,190	0	3.7	20	24 %	0.00 %
184	French Guiana	312,155	2.49 %	7,598	4	82,200	1,200	3.4	24	90 %	0.00 %
185	French Polynesia	308,872	0.85 %	2,593	84	3,660	-100	1.7	34	59 %	0.00 %
186	New Caledonia	292,991	1.05 %	3,041	16	18,280	500	2.0	34	74 %	0.00 %
187	Barbados	281,995	0.13 %	360	656	430	-80	1.6	40	32 %	0.00 %
188	Sao Tome and Principe	231,856	1.97 %	4,476	242	960	-600	3.7	19	77 %	0.00 %
189	Samoa	225,681	1.48 %	3,299	80	2,830	-1,500	3.8	21	16 %	0.00 %
190	Curacao	192,077	0.48 %	914	433	444	515	1.6	36	77 %	0.00 %
191	Saint Lucia	180,251	0.22 %	394	295	610	0	1.4	34	19 %	0.00 %
192	Guam	172,952	0.69 %	1,178	320	540	-500	2.5	30	95 %	0.00 %
193	Kiribati	133,515	1.74 %	2,283	165	810	-400	3.2	22	56 %	0.00 %
194	Grenada	126,183	0.59 %	745	371	340	-200	2.0	32	32 %	0.00 %
195	Tonga	107,773	0.86 %	915	150	720	-800	3.2	22	24 %	0.00 %
196	Seychelles	107,660	0.51 %	542	234	460	-200	2.3	33	53 %	0.00 %
197	Aruba	106,277	-0.16 %	-168	590	180	157	1.2	42	45 %	0.00 %
198	Saint Vincent and the Grenadines	103,698	-0.24 %	-250	266	390	-200	1.8	33	58 %	0.00 %
199	US Virgin Islands	98,750	-0.72 %	-715	282	350	-450	2.1	43	N.A.	0.00 %
200	Antigua and Barbuda	94,298	0.57 %	535	214	440	0	1.6	36	28 %	0.00 %
201	Isle of Man	84,710	0.23 %	191	149	570	340	1.6	46	55 %	0.00 %
202	Andorra	80,088	0.33 %	264	170	470	200	1.1	43	85 %	0.00 %
203	Dominica	73,040	0.42 %	303	97	750	-40	1.6	32	75 %	0.00 %
204	Cayman Islands	69,310	0.88 %	604	289	240	400	1.2	38	95 %	0.00 %
205	Bermuda	64,069	-0.18 %	-115	1,281	50	0	1.4	46	94 %	0.00 %
206	Greenland	56,643	0.31 %	177	0	410,450	-100	1.9	35	89 %	0.00 %
207	Faeroe Islands	53,270	0.34 %	180	38	1,396	0	2.7	38	41 %	0.00 %
208	Northern Mariana Islands	49,796	0.49 %	245	108	460	-50	2.1	38	N.A.	0.00 %
209	Saint Kitts and Nevis	47,755	0.21 %	98	184	260	20	1.5	35	38 %	0.00 %
210	Turks and Caicos	46,062	0.79 %	359	48	950	200	1.6	38	79 %	0.00 %
211	Sint Maarten	44,222	0.11 %	47	1,301	34	0	1.6	48	97 %	0.00 %
212	American Samoa	43,914	-0.81 %	-359	220	200	-790	2.2	29	N.A.	0.00 %
213	Marshall Islands	41,996	1.03 %	427	233	180	0	2.6	26	N.A.	0.00 %
214	Liechtenstein	39,584	0.65 %	257	247	160	150	1.5	44	15 %	0.00 %
215	Monaco	36,297	-0.47 %	-172	24,360	1	200	2.1	54	N.A.	0.00 %
216	San Marino	33,642	-0.05 %	-18	561	60	100	1.1	47	99 %	0.00 %
217	Gibraltar	32,688	0.12 %	39	3,269	10	-24	1.8	42	N.A.	0.00 %
218	Saint Martin	32,077	0.90 %	286	605	53	0	2.4	39	0 %	0.00 %
219	British Virgin Islands	31,538	0.74 %	233	210	150	200	1.0	39	53 %	0.00 %
220	Caribbean Netherlands	27,148	0.45 %	122	83	328	100	1.6	40	74 %	0.00 %
221	Palau	18,058	0.02 %	3	39	460	-20	2.3	36	N.A.	0.00 %
222	Cook Islands	17,044	0.19 %	33	71	240	-93	2.2	33	79 %	0.00 %
223	Anguilla	15,899	0.26 %	42	177	90	0	1.3	38	98 %	0.00 %
224	Nauru	12,780	0.88 %	112	639	20	-140	3.4	20	88 %	0.00 %
225	Wallis & Futuna	11,502	-0.60 %	-70	82	140	-119	1.9	37	0 %	0.00 %
226	Tuvalu	11,396	0.74 %	84	380	30	-60	3.1	25	69 %	0.00 %
227	Saint Barthelemy	10,994	0.25 %	27	524	21	0	1.0	40	0 %	0.00 %
228	Saint Pierre and Miquelon	5,840	-0.38 %	-22	25	230	0	1.6	44	N.A.	0.00 %
229	Saint Helena	5,314	-1.12 %	-60	14	390	0	1.6	53	32 %	0.00 %
230	Montserrat	4,386	-0.09 %	-4	44	100	0	1.6	44	11 %	0.00 %
231	Falkland Islands	3,791	0.29 %	11	0	12,170	0	1.6	40	62 %	0.00 %
232	Niue	1,935	0.05 %	1	7	260	0	2.4	36	41 %	0.00 %
233	Tokelau	1,893	1.18 %	22	189	10	0	2.6	27	0 %	0.00 %
234	Holy See	518	1.57 %	8	1,295	0	0			N.A.	0.00 %
235	faroeislands	52889
235	canaryislands	2207000
236	kosovo	1660000
236	bonaire	20104
236	monsterrat	4992
236	crimea	2416852
236	sinteustatius	3138
Guangdong	126,012,510	104,303,132	85,225,007	62,829,236	59,299,220	42,800,849	34,770,059	27,210,000	32,453,000	32,428,000	28,011,000
Shandong[FN 5][FN 6]	101,527,453	95,793,065	89,971,789	84,392,827	74,419,054	55,519,038	48,876,548	38,865,000	38,100,000	28,672,000	30,989,000
Henan	99,365,519	94,023,567	91,236,854	85,509,535	74,422,739	50,325,511	44,214,594	29,654,000	34,290,000	30,566,000	28,518,000
Sichuan[FN 7]	83,674,866	80,418,200	82,348,296	107,218,173	99,713,310	67,956,490	62,303,999	47,437,000	52,706,000	47,992,000	48,130,000
Jiangsu[FN 8][FN 9]	84,748,016	78,659,903	73,043,577	67,056,519	60,521,114	44,504,608	41,252,192	36,080,000	36,469,000	34,126,000	32,283,000
Hebei[FN 10][FN 11][FN 12]	74,610,235	71,854,202	66,684,419	61,082,439	53,005,876	45,687,781	35,984,644	28,719,000	28,644,000	31,232,000	26,658,000
Hunan	66,444,864	65,683,722	63,274,173	60,659,754	54,008,851	37,182,286	33,226,954	25,558,000	28,294,000	31,501,000	27,617,000
Anhui	61,027,171	59,500,510	58,999,948	56,180,813	49,665,724	31,241,657	30,343,637	22,462,000	23,354,000	21,715,000	16,229,000
Hubei[FN 13]	58,300,000	57,237,740	59,508,870	53,969,210	47,804,150	33,709,344	27,789,693	20,976,000	25,516,000	26,699,000	29,590,000
Zhejiang	64,567,588	54,426,891	45,930,651	41,445,930	38,884,603	28,318,573	22,865,747	19,959,000	21,231,000	20,643,000	21,440,000
Guangxi[FN 14]	50,126,804	46,026,629	43,854,538	42,245,765	36,420,960	20,845,017	19,560,822	14,636,000	13,385,000	13,648,000	7,879,000
Yunnan	47,209,277	45,966,239	42,360,089	36,972,610	32,553,817	20,509,525	17,472,737	9,066,000	12,042,000	13,821,000	9,468,000
Jiangxi	45,188,635	44,567,475	40,397,598	37,710,281	33,184,827	21,068,019	16,772,865	12,507,000	15,805,000	20,323,000	23,988,000
Liaoning[FN 15][FN 16][FN 17]	42,591,407	43,746,323	41,824,412	39,459,697	35,721,693	26,946,200	18,545,147	10,007,000	15,254,000	15,233,000	12,133,000
Fujian	41,540,086	36,894,216	34,097,947	30,097,274	25,931,106	16,757,223	13,142,721	11,143,000	11,756,000	10,071,000	15,849,000
Shaanxi[FN 18]	39,528,999	37,327,378	35,365,072	32,882,403	28,904,423	20,766,915	15,881,281	10,011,000	9,780,000	11,802,000	9,364,000
Heilongjiang[FN 19][FN 20]	31,850,088	38,312,224	36,237,576	35,214,873	32,665,546	20,118,271	11,897,309	2,844,000	3,751,000	3,725,000	2,029,000
Shanxi	34,915,616	37,022,111	32,471,242	28,759,014	25,291,389	18,015,067	14,314,485	15,247,000	11,601,000	12,228,000	10,082,000
Guizhou	38,562,148	35,806,468	35,247,695	32,391,066	28,552,997	17,140,521	15,037,310	10,174,000	9,919,000	14,746,000	9,665,000
Chongqing[FN 7][FN 21]	32,054,159	28,846,170	30,512,763	*	*	*	*	986,000	*	*	*
Jilin	24,073,453	27,462,297	26,802,191	24,658,721	22,560,053	15,668,663	11,290,073	6,465,000	7,354,000	7,635,000	5,580,000
Gansu[FN 22]	25,019,831	25,575,254	25,124,282	22,371,141	19,569,261	12,630,569	12,928,102	7,091,000	6,716,000	6,281,000	4,990,000
Inner Mongolia[FN 14]	24,049,155	24,706,321	23,323,347	21,456,798	19,274,279	12,348,638	6,100,104	*	*	*	*
Shanghai[FN 8][FN 21]	24,870,895	23,019,148	16,407,734	13,341,896	11,859,748	10,816,458	6,204,417	4,630,000	3,727,000	*	*
Xinjiang	25,852,345	21,813,334	18,459,511	15,155,778	13,081,681	7,270,067	4,873,608	4,047,000	4,360,000	2,552,000	2,098,000
Beijing	21,893,095	19,612,368	13,569,194	10,819,407	9,230,687	7,568,495	2,768,149	1,722,000	1,551,000	*	*
Tianjin	13,866,009	12,938,224	9,848,731	8,785,402	7,764,141	*	2,693,831	1,773,000	1,218,000	*	*
Hainan	10,081,232	9,261,518	7,559,035	6,557,482	*	*	*	*	*	*	*
Hong Kong	7,474,200	7,061,200	6,708,389								
Ningxia	7,202,654	6,176,900	5,486,393	4,655,451	3,895,578	*	*	759,000	978,000	1,450,000	303,000
Qinghai	5,923,957	5,626,722	4,822,963	4,456,946	3,895,706	2,145,604	1,676,534	1,308,000	1,196,000	619,000	368,000
Tibet	3,648,100	3,002,166	2,616,329	2,196,010	1,892,393	1,251,225	1,273,969				
Macao	683,218	552,503	435,235
England	56,550,138	84.3	
Scotland	5,466,000	8.2	
Wales	3,169,586	4.7	
Northern Ireland	1,895,510	2.8	
